DateTime,Date,Time,Step Count,Distance,Energy Burned,Flights Climbed,Walking Double Support Percentage,Walking Speed,Hour,DayOfWeek,EnergyPerStep,TimeOfDay,ActivityLevel
2023-03-21 16:01:23,2023-03-21,16:01:23 ,46,0.02543,14.62,3,0.304,3.06,16,1,0.31782608004725915,Afternoon,Medium
2023-03-21 16:18:37,2023-03-21,16:18:37 ,645,0.40041,14.722,3,0.309,3.852,16,1,0.02282480616616309,Afternoon,High
2023-03-21 16:31:38,2023-03-21,16:31:38 ,14,0.00996,14.603,4,0.278,3.996,16,1,1.043071354066332,Afternoon,Low
2023-03-21 16:45:37,2023-03-21,16:45:37 ,13,0.00901,14.811,3,0.278,5.04,16,1,1.139307604668646,Afternoon,Low
2023-03-21 17:10:30,2023-03-21,17:10:30 ,17,0.00904,15.153,3,0.281,5.184,17,1,0.8913528887439477,Evening,Low
2023-03-21 18:14:45,2023-03-21,18:14:45 ,8,0.0056,14.958,3,0.301,5.04,18,1,1.8697497662812794,Evening,Low
2023-03-21 19:02:31,2023-03-21,19:02:31 ,564,0.36089,13.709,3,0.289,4.464,19,1,0.02430673754555543,Evening,High
2023-03-21 19:10:51,2023-03-21,19:10:51 ,153,0.09493,14.86,3,0.307,4.788,19,1,0.09712418237173737,Evening,Medium
2023-03-21 19:20:57,2023-03-21,19:20:57 ,16,0.01074,16.804,3,0.314,4.068,19,1,1.050249934359379,Evening,Low
2023-03-21 21:04:23,2023-03-21,21:04:23 ,22,0.01526,14.564,3,0.293,3.816,21,1,0.6619999699090923,Night,Low
2023-03-21 21:25:23,2023-03-21,21:25:23 ,16,0.0072,13.13,1,0.283,4.572,21,1,0.8206249487109407,Night,Low
2023-03-22 00:32:15,2023-03-22,00:32:15 ,37,0.01855,13.693,3,0.272,4.896,0,2,0.37008107107889,Night,Medium
2023-03-22 01:20:54,2023-03-22,01:20:54 ,14,0.01026,14.177,1,0.276,1.728,1,2,1.0126427848112296,Night,Low
2023-03-22 08:22:57,2023-03-22,08:22:57 ,22,0.01276,14.395,3,0.271,5.148,8,2,0.6543181520764476,Morning,Low
2023-03-22 10:34:49,2023-03-22,10:34:49 ,206,0.14214,10.861,1,0.291,4.968,10,2,0.05272330071493544,Morning,Medium
2023-03-22 10:52:38,2023-03-22,10:52:38 ,44,0.03036,14.851,3,0.319,5.184,10,2,0.3375227196017564,Morning,Medium
2023-03-22 13:04:47,2023-03-22,13:04:47 ,122,0.08541,14.124,1,0.273,4.572,13,2,0.11577049085434024,Afternoon,Medium
2023-03-22 13:42:14,2023-03-22,13:42:14 ,839,0.60459,14.17,3,0.319,3.456,13,2,0.016889153734339506,Afternoon,High
2023-03-22 13:42:14,2023-03-22,13:42:14 ,118,0.08607,12.49,1,0.298,2.304,13,2,0.1058474567301063,Afternoon,Medium
2023-03-22 13:55:27,2023-03-22,13:55:27 ,590,0.37101,15.871,3,0.315,2.376,13,2,0.02689999995440678,Afternoon,High
2023-03-22 14:14:39,2023-03-22,14:14:39 ,425,0.27507,15.384,3,0.322,2.016,14,2,0.036197646973652596,Afternoon,High
2023-03-22 14:52:20,2023-03-22,14:52:20 ,260,0.17774,20.497,3,0.321,4.968,14,2,0.07883461508140532,Afternoon,High
2023-03-22 14:57:40,2023-03-22,14:57:40 ,838,0.53206,14.519,1,0.326,4.392,14,2,0.017325775635649434,Afternoon,High
2023-03-22 15:15:35,2023-03-22,15:15:35 ,959,0.59911,14.422,3,0.32,4.644,15,2,0.01503858184041858,Afternoon,High
2023-03-22 15:23:52,2023-03-22,15:23:52 ,89,0.06556,14.652,3,0.324,1.692,15,2,0.16462921163337965,Afternoon,Medium
2023-03-22 15:40:24,2023-03-22,15:40:24 ,472,0.29817,14.793,3,0.331,3.528,15,2,0.03134110162851461,Afternoon,High
2023-03-22 15:45:00,2023-03-22,15:45:00 ,117,0.07109,16.204,1,0.314,4.104,15,2,0.13849572531200235,Afternoon,Medium
2023-03-22 16:13:03,2023-03-22,16:13:03 ,30,0.01634,12.064,3,0.353,3.708,16,2,0.40213331992888934,Afternoon,Low
2023-03-22 16:59:35,2023-03-22,16:59:35 ,492,0.31219,31.105,2,0.326,4.068,16,2,0.06322154458694808,Afternoon,High
2023-03-22 17:06:48,2023-03-22,17:06:48 ,431,0.26924,17.051,1,0.321,4.14,17,2,0.039561484827003515,Evening,High
2023-03-22 17:17:33,2023-03-22,17:17:33 ,502,0.31676,13.758,4,0.297,3.708,17,2,0.027406374447397658,Evening,High
2023-03-22 17:27:35,2023-03-22,17:27:35 ,708,0.44806,15.203,3,0.299,3.168,17,2,0.021473163811478582,Evening,High
2023-03-22 18:02:17,2023-03-22,18:02:17 ,587,0.36479,15.006,1,0.321,2.268,18,2,0.025563884113179072,Evening,High
2023-03-22 18:11:29,2023-03-22,18:11:29 ,496,0.3112,14.777,3,0.308,3.348,18,2,0.02979233864961222,Evening,High
2023-03-22 18:19:35,2023-03-22,18:19:35 ,395,0.26146,20.057,3,0.296,3.492,18,2,0.0507772150613235,Evening,High
2023-03-22 18:29:34,2023-03-22,18:29:34 ,401,0.25999,11.351,3,0.299,3.348,18,2,0.02830673309649194,Evening,High
2023-03-22 19:00:43,2023-03-22,19:00:43 ,384,0.25378,10.345,3,0.308,2.88,19,2,0.026940104096510147,Evening,High
2023-03-22 19:07:33,2023-03-22,19:07:33 ,161,0.47598,15.203,3,0.302,2.7,19,2,0.09442857084205857,Evening,Medium
2023-03-22 19:15:01,2023-03-22,19:15:01 ,736,0.15439,14.934,3,0.311,2.844,19,2,0.02029076084199625,Evening,High
2023-03-22 19:25:32,2023-03-22,19:25:32 ,142,0.07679,14.918,3,0.337,3.276,19,2,0.10505633728833565,Evening,Medium
2023-03-22 23:29:50,2023-03-22,23:29:50 ,10,0.0069,13.872,3,0.344,2.16,23,2,1.387199861280014,Night,Low
2023-03-23 09:15:52,2023-03-23,09:15:52 ,17,0.00879,14.395,3,0.321,3.348,9,3,0.8467646560726673,Morning,Low
2023-03-23 16:51:23,2023-03-23,16:51:23 ,675,0.47259,14.928,3,0.328,3.528,16,3,0.02211555552279177,Afternoon,High
2023-03-23 17:01:33,2023-03-23,17:01:33 ,58,0.03906,13.585,2,0.31,4.212,17,3,0.23422413389268737,Evening,Medium
2023-03-23 17:23:21,2023-03-23,17:23:21 ,27,0.01873,13.76,3,0.326,4.212,17,3,0.5096296107544588,Evening,Low
2023-03-23 19:00:57,2023-03-23,19:00:57 ,8,0.00584,14.052,1,0.318,3.6,19,3,1.7564997804375275,Evening,Low
2023-03-23 20:11:46,2023-03-23,20:11:46 ,6,0.0042,15.445,1,0.285,3.744,20,3,2.5741662376389605,Evening,Low
2023-03-23 20:52:19,2023-03-23,20:52:19 ,56,0.03888,14.389,3,0.271,3.42,20,3,0.2569464239830996,Evening,Medium
2023-03-23 22:53:29,2023-03-23,22:53:29 ,26,0.01828,13.87,3,0.34,4.032,22,3,0.5334615179437877,Night,Low
2023-03-24 14:20:45,2023-03-24,14:20:45 ,81,0.05595,13.804,3,0.334,4.428,14,4,0.17041975098247222,Afternoon,Medium
2023-03-24 16:26:41,2023-03-24,16:26:41 ,6,0.00414,14.914,3,0.317,4.356,16,4,2.485666252388958,Afternoon,Low
2023-03-24 16:51:38,2023-03-24,16:51:38 ,50,0.03425,13.831,3,0.309,4.104,16,4,0.2766199944676001,Afternoon,Medium
2023-03-24 19:02:12,2023-03-24,19:02:12 ,1,0.00046,14.796,3,0.292,4.14,19,4,14.795985204014796,Evening,Low
2023-03-24 20:11:48,2023-03-24,20:11:48 ,236,0.14723,13.722,1,0.285,3.816,20,4,0.058144067550237,Evening,High
2023-03-24 22:12:26,2023-03-24,22:12:26 ,14,0.01037,20.545,3,0.307,2.772,22,4,1.4674998951785792,Night,Low
2023-03-25 13:11:57,2023-03-25,13:11:57 ,78,0.04892,15.109,3,0.33,2.628,13,5,0.19370512572172915,Afternoon,Medium
2023-03-25 15:14:00,2023-03-25,15:14:00 ,96,0.06624,16.841,3,0.334,3.456,15,5,0.17542708150596792,Afternoon,Medium
2023-03-25 15:38:12,2023-03-25,15:38:12 ,132,0.09116,14.808,3,0.284,3.42,15,5,0.11218181733195592,Afternoon,Medium
2023-03-25 17:08:09,2023-03-25,17:08:09 ,33,0.02279,14.922,3,0.33,3.816,17,5,0.4521818044793393,Evening,Low
2023-03-25 18:46:46,2023-03-25,18:46:46 ,504,0.35053,14.564,3,0.288,3.24,18,5,0.028896825339490426,Evening,High
2023-03-25 18:58:27,2023-03-25,18:58:27 ,60,0.04182,14.191,3,0.278,3.384,18,5,0.2365166627247223,Evening,Medium
2023-03-25 19:10:59,2023-03-25,19:10:59 ,54,0.03719,16.621,1,0.276,2.124,19,5,0.307796290596365,Evening,Medium
2023-03-25 19:27:00,2023-03-25,19:27:00 ,77,0.05559,14.218,1,0.279,5.004,19,5,0.18464934825130716,Evening,Medium
2023-03-25 23:24:27,2023-03-25,23:24:27 ,19,0.01248,14.268,3,0.281,4.608,23,5,0.750947328897509,Night,Low
2023-03-26 07:07:48,2023-03-26,07:07:48 ,24,0.0167,15.38,3,0.273,5.148,7,6,0.6408333066319456,Morning,Low
2023-03-26 15:53:25,2023-03-26,15:53:25 ,91,0.0629,13.198,2,0.275,2.628,15,6,0.1450329654391982,Afternoon,Medium
2023-03-26 16:08:01,2023-03-26,16:08:01 ,16,0.01104,14.754,2,0.278,2.592,16,6,0.922124942367191,Afternoon,Low
2023-03-26 17:24:18,2023-03-26,17:24:18 ,501,0.35164,14.374,1,0.283,2.34,17,6,0.028690618705208348,Evening,High
2023-03-26 19:12:48,2023-03-26,19:12:48 ,189,0.13039,13.904,2,0.347,2.052,19,6,0.07356613717689875,Evening,Medium
2023-03-26 19:28:30,2023-03-26,19:28:30 ,31,0.0214,23.127,2,0.288,2.448,19,6,0.7460322339989601,Evening,Low
2023-03-26 21:10:46,2023-03-26,21:10:46 ,84,0.05477,15.023,1,0.279,3.132,21,6,0.17884523596612814,Night,Medium
